en | Yobouakro is a village in eastern Ivory Coast. It is in the sub-prefecture of Agnibilékrou,
en | Agnibilékrou Department, Indénié-Djuablin Region, Comoé District. The village sits just south of the border with
en | Zanzan District. Yobouakro was a commune until March 2012, when it became one of 1126
en | The 2009 Grand Prix motorcycle racing season was the 61st F.I.M. Road Racing World Championship
en | season. The season consisted out of 17 races for the MotoGP class and 16 for
en | the 125cc and 250cc classes, beginning with the Qatar motorcycle Grand Prix on 12 April
en | 2009 and ending with the Valencian Community motorcycle Grand Prix on 8 November. Preseason Cost-cutting
en | measures As announced during 2008, MotoGP class switched to a single-tyre manufacturer ending a previous
en | Tyre war between Dunlop, Bridgestone, and Michelin that started in the 2002 season (though Dunlop
en | left as a tyre manufacturer in 2007). The move was made to try to improve
en | safety by reducing cornering speeds, and in a marginal way for cost reasons; the winner
en | was decided by bid. Michelin, one of the two tyre suppliers in 2008, decided not
en | to bid for the supply, effectively declaring Bridgestone the winner, which was confirmed on 18
en | October 2008. Bridgestone will be the sole tyre supplier from 2009 to 2011. Only race
en | spec tyres will be provided to the teams, eliminating qualifying tyres, in use until 2008.
en | Other cost-cutting manoeuvers were made during the winter prior to the season, to try to
en | contain the rising costs of the sport, especially during the 2008 financial crisis. FIM was
en | especially concerned, fearing that defections among private and factory teams could leave the grid with
en | 14 bikes only. After negotiations between FIM, Dorna and MSMA (the manufacturers' association), new measures
en | were adopted. The Friday morning free practice session was eliminated, limiting the Friday practice time
en | to a single 45-minute session (later brought to a 1-hour session from the French GP
en | onwards); a limit of 5 engines was imposed for the last 7 races, with a
en | 10-point penalty for each additional engine used; ceramic composite materials for brakes were banned; electronic
en | assistance was reduced with the ban of electronic controlled suspensions and launch control systems; Monday
en | tests will be cancelled except for Catalunya and Brno, where only test riders will be
en | allowed to take part. Kawasaki withdrawal and return With a somewhat unexpected announcement, Kawasaki made
en | public its intention to withdraw from MotoGP immediately on 9 January 2009, citing the global
en | economic downturn as the main cause of the decision. Initial negotiations between Dorna and Kawasaki
en | aimed to run the two bikes with the private Aspar team, but after further talks,
en | on 26 February 2009 Kawasaki announced its decision to remain in the category, running a
en | single bike team with Marco Melandri, effectively leaving John Hopkins without a contract. The team
en | ran under the Hayate Racing banner, as announced on 1 March 2009. Season review MotoGP
en | Valentino Rossi won his sixth MotoGP title, seventh in the top class and ninth title
en | in total after getting the better of teammate Jorge Lorenzo in a season-long battle. The
en | season was marked by the dominance of Yamaha duo Rossi and Lorenzo, with occasional wins
en | for Dani Pedrosa and Casey Stoner. Riding the factory Ducati, 2007 champion Stoner won the
en | opener in Qatar as well as a rain-hit race in Italy to open up a
en | championship lead after six rounds. Inconsistent handling from the Ducati as well as health problems
en | for Stoner causing fatigue saw him drop out of the title fight by mid-season, whereas
en | Pedrosa and Lorenzo crashed more often than Rossi who built up a sizeable lead to
